Activity Type,Max Time (min),Min Time (min),Average Time (min),Std Dev (min)
Stop - hail,35.16666666666667,3.0,15.373809523809523,7.059449380495813
Stop - passenger drop,42.0,6.0,19.99,8.916793081344203
Stop - swap station,73.16666666666667,10.0,24.14282308059132,13.091426745327855
Stop - taxi rank,165.0,2.0,53.85190545103714,32.27760924795005
Trip - passenger,688.8333333333334,144.16666666666666,387.9183333333333,155.89805738690796
Trip - to hail,92.16666666666667,3.1666666666666665,34.92452380952381,18.39963673191361
Trip - to swap station,52.5,0.5,19.516213638531237,10.646211779226853
Trip - to taxi rank,83.5,0.3333333333333333,23.375542691751086,14.445748752204643
