Activity Type,Max Time (min),Min Time (min),Average Time (min),Std Dev (min)
Stop - idle,84.33333333333343,35.666666666666636,62.533333333333346,16.775717312771626
Stop - passenger drop,28.0,15.0,21.8,4.417138339593986
Stop - pickup,29.333333333333336,15.666666666666666,23.266666666666666,4.658855897278316
Stop - swap station,42.166666666666664,12.833333333333334,23.166666666666664,7.90257029604613
Trip - passenger,320.0,183.83333333333337,254.78333333333336,51.71694387674717
Trip - pickup,341.49999999999994,148.5,231.33333333333331,60.99878565882971
Trip - to swap station,58.33333333333333,0.3333333333333333,12.533333333333333,18.074912700641253
